"","A1","Z1","Y2","L1","A0","Z0","L0"
"1",1,1,1353,-1.52409977806294,1,1,0
"2",1,1,4984,0.697582978851013,0,1,0
"3",0,1,27707,-1.52409977806294,1,1,0
"4",0,1,31860,0.960869381067968,0,1,0
"5",0,0,26615,0.964397235179709,0,0,0
"6",1,1,48541,-0.0848629536107846,1,1,1
"7",0,1,3240,0.975474577058332,1,1,1
"8",1,1,8385,-1.52409977806294,1,1,0
"9",1,1,4036,0.984521132990082,1,1,1
"10",0,1,16419,0.787392039429005,1,1,1
"11",0,1,22221,-0.162485836395737,1,0,0
"12",0,1,1933,0.490058036776021,0,0,0
"13",0,0,19541,-1.52409977806294,1,1,1
"14",1,1,25766,0.472975743224941,1,1,0
"15",1,1,9879,1.01103033528625,1,1,1
"16",0,0,25199,0.787392039429005,1,1,1
"17",0,0,24765,0.683710466972777,1,1,0
"18",0,1,29780,0.914923572565032,1,0,1
"19",0,0,18888,1.03165002063682,1,1,1
"20",1,1,33390,0.906343560317334,1,1,0
"21",0,0,12537,0.212382210845837,0,0,0
"22",0,0,48254,0.864118186232163,1,1,0
"23",0,0,23686,-1.52409977806294,0,1,0
"24",0,0,10112,0.162993191115368,1,1,0
"25",0,0,33570,0.930094214870294,1,1,0
"26",0,0,12301,0.599336628080891,0,1,1
"27",0,0,27676,0.915601103539856,1,0,0
"28",0,0,57676,1.04667001220076,1,1,1
"29",1,1,38018,0.758804816873193,1,1,0
"30",1,1,3366,-1.52409977806294,0,1,0
"31",1,1,4038,0.350831884717768,0,0,1
"32",1,0,13892,0.726847817268774,1,0,0
"33",0,0,14598,0.544310374608005,1,1,0
"34",1,1,439,-1.52409977806294,0,1,0
"35",1,1,20609,-1.52409977806294,1,1,1
"36",0,0,37644,0.690619104557388,1,1,0
"37",0,1,21219,0.798033861226659,0,1,1
"38",0,0,9747,0.758804816873193,1,1,0
"39",0,0,0,-0.15539040240427,0,1,0
"40",1,1,31196,0.975474577058332,0,1,1
"41",0,0,34728,0.975474577058332,1,1,0
"42",0,0,126,-1.52409977806294,0,1,1
"43",1,1,1763,0.538805966010795,0,1,1
"44",1,1,7028,-0.592167534853235,0,1,0
"45",1,1,4506,-1.52409977806294,1,1,1
"46",1,1,2203,0.400266011144916,1,1,1
"47",0,0,3765,0.64405420320168,1,0,1
"48",1,1,5475,-1.52409977806294,1,0,0
"49",0,0,12394,-1.52409977806294,1,0,0
"50",1,1,8372,-1.52409977806294,1,0,1
"51",1,1,11018,-1.52409977806294,1,1,0
"52",0,0,1109,-1.52409977806294,1,1,0
"53",0,0,75,0.510227782937839,0,0,1
"54",0,0,26944,-1.52409977806294,1,0,0
"55",0,0,2787,1.0249493702102,1,1,0
"56",1,1,11832,-1.52409977806294,0,1,1
"57",1,1,8127,0.666306985702979,1,1,0
"58",0,0,26525,1.06875022972753,1,1,1
"59",1,1,8860,0.460778602579723,1,1,1
"60",1,1,43596,1.01698679884979,1,1,1
"61",1,1,48727,0.350831884717768,1,1,1
"62",1,1,28029,-1.52409977806294,1,1,0
"63",0,0,20865,-1.52409977806294,0,1,0
"64",1,1,56089,0.802176431889199,1,1,1
"65",0,1,4310,0.468970632039592,0,0,1
"66",0,1,2952,-1.52409977806294,0,1,0
"67",1,1,23830,0.758804816873193,1,1,0
"68",0,1,13871,0.753999265692838,1,0,0
"69",1,1,9962,1.02693209969443,1,1,1
"70",0,1,14459,0.813252848858161,0,1,1
"71",0,0,3721,0.946884340069479,1,1,0
"72",0,1,6261,0.162993191115368,0,1,0
"73",0,0,35676,0.726847817268774,1,1,1
"74",0,1,12758,-1.52409977806294,0,1,0
"75",1,1,9003,0.92945195947408,1,1,0
"76",0,0,24135,-0.271625799614365,0,1,1
"77",0,0,2612,1.01316424809714,0,0,1
"78",0,1,698,0.599336628080891,1,1,1
"79",0,1,141,-1.52409977806294,0,0,0
"80",0,1,34593,0.858581213504869,1,1,1
"81",1,1,10840,0.836862310742941,1,0,1
"82",0,0,0,0.528720256074521,0,1,1
"83",1,1,0,-0.162485836395737,0,1,1
"84",0,1,27431,0.914923572565032,1,0,1
"85",0,0,0,-1.52409977806294,0,1,0
"86",1,1,0,0.939240051136545,1,1,0
"87",0,0,0,-1.52409977806294,1,1,0
"88",0,1,1929,0.117065661628186,0,0,0
"89",0,1,0,0.714000028747453,1,1,1
"90",1,1,90483,0.538805966010795,1,1,1
"91",0,0,19344,0.350831884717768,1,1,0
"92",0,1,47184,1.08550263582028,1,1,0
"93",0,0,1008,-0.0691260880135315,1,1,1
"94",0,1,22026,0.836862310742941,1,0,0
"95",1,1,19501,0.878690015641386,1,1,1
"96",0,0,60007,0.975474577058332,0,1,1
"97",0,0,13383,0.813252848858161,1,1,1
"98",1,1,42547,1.00133785291652,1,1,1
"99",1,1,9285,0.576717554763112,1,1,1
"100",1,1,2769,0.726847817268774,1,1,1
"101",0,0,22820,0.134460119762742,1,0,0
"102",0,0,6119,0.421971010103767,1,1,1
"103",0,0,8952,-1.52409977806294,0,0,1
"104",0,1,11797,0.813252848858161,1,1,1
"105",0,0,53103,1.0249493702102,1,1,1
"106",0,0,6432,0.538805966010795,1,1,0
"107",1,1,0,-1.52409977806294,0,1,0
"108",1,1,0,-1.52409977806294,0,1,0
"109",1,1,20014,0.254151860684496,1,1,0
"110",0,0,0,-1.52409977806294,0,0,0
"111",0,1,51495,0.78052256030418,0,1,1
"112",1,1,13500,-1.52409977806294,1,1,1
"113",1,1,2874,0.648797858205049,1,1,0
"114",0,1,45968,0.635452928679159,1,1,1
"115",0,0,29458,0.965102974618903,0,0,1
"116",1,1,24365,0.212382210845837,1,0,0
"117",1,1,3999,0.975474577058332,1,1,1
"118",0,1,43734,0.858581213504869,0,1,0
"119",0,0,83989,0.975474577058332,1,0,1
"120",0,0,0,1.14965116990703,1,1,1
"121",0,0,37122,0.648797858205049,0,0,0
"122",0,1,40305,0.357261837405337,0,1,0
"123",0,0,2824,0.787392039429005,1,0,1
"124",0,0,10371,-1.52409977806294,0,0,0
"125",1,1,25585,-1.52409977806294,1,1,0
"126",1,1,17470,0.918963615779324,0,1,1
"127",0,0,5854,0.0664290524095003,0,1,0
"128",0,0,10047,-0.312119790033196,0,1,1
"129",0,0,62424,1.079373414604,1,1,0
"130",1,1,0,0.362765727361998,0,0,1
"131",0,1,0,-1.52409977806294,1,1,1
"132",1,1,26214,0.824368812442622,0,1,0
"133",0,0,17943,0.588262676782656,0,0,0
"134",0,0,0,0.836862310742941,0,1,1
"135",0,1,12586,0.350831884717768,0,1,0
"136",0,1,5637,-1.52409977806294,0,0,1
"137",0,0,1935,-1.52409977806294,0,0,0
"138",0,1,11619,0.553586043924597,1,1,1
"139",0,1,5992,0.622714993047752,0,1,1
"140",0,0,2993,0.376672979649578,1,1,1
"141",0,0,0,0.24268597210938,1,1,1
"142",0,1,22614,-0.201044883866856,0,1,0
"143",1,1,22636,0.798033861226659,0,1,0
"144",0,1,22895,0.648797858205049,1,0,0
"145",0,1,9343,1.0128097591396,1,1,0
"146",0,1,17181,0.940354188415381,1,1,0
"147",1,1,1611,0.188809685186082,1,1,0
"148",0,0,1455,-1.52409977806294,1,0,0
"149",1,1,14757,-1.52409977806294,1,1,1
"150",0,1,0,0.712359373864095,0,1,0
"151",0,1,11636,0.0247237191026457,0,1,1
"152",1,1,201,-0.0848629536107846,1,1,0
"153",0,1,17739,-1.52409977806294,1,1,1
"154",0,0,8284,0.630080694611304,1,1,1
"155",1,1,31312,0.808274083446812,1,1,0
"156",1,1,17038,0.442067893844077,1,1,1
"157",1,1,325,-1.52409977806294,0,1,1
"158",1,1,17160,1.08550263582028,1,1,1
"159",1,1,19329,0.712931162099861,1,1,0
"160",0,0,15841,0.897411054289019,0,1,0
"161",0,0,7551,0.552040421003432,1,1,1
"162",0,0,1956,0.719978685914774,0,1,1
"163",1,1,0,0.787392039429005,1,0,0
"164",0,1,4446,-0.277053678368629,0,0,1
"165",1,1,9449,0.832990848640537,0,1,1
"166",0,1,31774,0.421971010103767,1,1,0
"167",1,1,27546,-1.52409977806294,1,1,0
"168",0,1,1440,0.102570790588686,0,0,1
"169",1,1,14295,0.0247237191026457,1,1,1
"170",1,1,7898,0.669258225346431,0,1,1
"171",0,0,34745,0.878690015641386,1,1,0
"172",0,0,3779,0.726847817268774,1,1,0
