recid	D2	Z2	earnings	prevearn	edu	n_hs2	n_hs2_abv	sex
300001	1	1	1353	0	12	17	0	0
300002	1	1	4984	3591	11	16	0	0
300006	0	1	27707	0	12	28	0	0
300008	0	1	31860	9476	10	13	0	0
300010	0	0	26615	9600	9	1	0	0
300012	1	1	48541	200	12	15	0	1
300013	0	1	3240	10000	13	39	1	1
300014	1	1	8385	0	12	28	0	0
300015	1	1	4036	10339	12	39	1	1
300016	0	1	16419	5000	12	39	1	1
300019	0	1	22221	150	12	9	0	0
300022	0	1	1933	1671	8	9	0	0
300025	0	0	19541	0	12	19	0	1
300026	1	1	25766	1569	12	16	0	0
300027	1	1	9879	11400	12	15	0	1
300028	0	0	25199	5000	13	40	1	1
300030	0	0	24765	3412	17	15	0	0
300032	0	1	29780	8000	14	2	0	1
300033	0	0	18888	12300	12	13	0	1
300035	1	1	33390	7751	12	16	0	0
300037	0	0	12537	600	11	1	0	0
300039	0	0	48254	6634	12	13	0	0
300040	0	0	23686	0	10	17	0	0
300048	0	0	10112	500	12	16	0	0
300052	0	0	33570	8460	12	13	0	0
300054	0	0	12301	2500	9	37	1	1
300055	0	0	27676	8020	12	2	0	0
300057	0	0	57676	13000	12	39	1	1
300058	1	1	38018	4500	12	13	0	0
300059	1	1	3366	0	9	19	0	0
300062	1	1	4038	1000	9	1	0	1
300063	1	0	13892	4000	14	2	0	0
300064	0	0	14598	2041	13	15	0	0
300066	1	1	439	0	9	13	0	0
300074	1	1	20609	0	15	37	1	1
300075	0	0	37644	3500	12	17	0	0
300076	0	1	21219	5200	10	346	1	1
300077	0	0	9747	4500	12	16	0	0
300078	0	0	0	154	10	13	0	0
300081	1	1	31196	10000	11	17	0	1
300082	0	0	34728	10000	13	15	0	0
300084	0	0	126	0	11	28	0	1
300085	1	1	1763	2000	10	39	1	1
300091	1	1	7028	30	10	15	0	0
300092	1	1	4506	0	12	13	0	1
300095	1	1	2203	1200	14	13	0	1
300096	0	0	3765	2948	12	0	0	1
300097	1	1	5475	0	12	1	0	0
300098	0	0	12394	0	12	1	0	0
300099	1	1	8372	0	12	0	0	1
300101	1	1	11018	0	12	13	0	0
300103	0	0	1109	0	12	13	0	0
300104	0	0	75	1800	9	9	0	1
300105	0	0	26944	0	12	1	0	0
300108	0	0	2787	12000	12	17	0	0
300110	1	1	11832	0	11	13	0	1
300113	1	1	8127	3200	15	16	0	0
300115	0	0	26525	14102	12	13	0	1
300119	1	1	8860	1500	12	13	0	1
300122	1	1	43596	11653	12	13	0	1
300123	1	1	48727	1000	14	13	0	1
300125	1	1	28029	0	12	13	0	0
300128	0	0	20865	0	11	19	0	0
300129	1	1	56089	5280	16	13	0	1
300133	0	1	4310	1546	10	9	0	1
300134	0	1	2952	0	11	19	0	0
300136	1	1	23830	4500	12	13	0	0
300139	0	1	13871	4421	13	0	0	0
300140	1	1	9962	12088	13	37	1	1
300141	0	1	14459	5500	10	13	0	1
300144	0	0	3721	9000	12	13	0	0
300146	0	1	6261	500	9	13	0	0
300153	0	0	35676	4000	12	13	0	1
300154	0	1	12758	0	10	19	0	0
300156	1	1	9003	8440	12	13	0	0
300158	0	0	24135	100	11	28	0	1
300159	0	0	2612	11490	11	2	0	1
300160	0	1	698	2500	12	39	1	1
300161	0	1	141	0	11	1	0	0
300163	0	1	34593	6500	12	15	0	1
300169	1	1	10840	6000	12	1	0	1
300171	0	0	0	1927	10	37	1	1
300172	1	1	0	150	10	16	0	1
300173	0	1	27431	8000	13	9	0	1
300174	0	0	0	0	8	13	0	0
300175	1	1	0	8750	12	13	0	0
300176	0	0	0	0	12	19	0	0
300181	0	1	1929	422	11	9	0	0
300182	0	1	0	3815	16	39	1	1
300187	1	1	90483	2000	15	15	0	1
300189	0	0	19344	1000	12	39	1	0
300192	0	1	47184	15000	12	13	0	0
300193	0	0	1008	212	12	17	0	1
300202	0	1	22026	6000	14	2	0	0
300207	1	1	19501	7000	13	15	0	1
300209	0	0	60007	10000	10	13	0	1
300212	0	0	13383	5500	17	16	0	1
300214	1	1	42547	11000	12	39	1	1
300215	1	1	9285	2300	12	16	0	1
300218	1	1	2769	4000	12	15	0	1
300220	0	0	22820	450	13	2	0	0
300221	0	0	6119	1300	15	13	0	1
300222	0	0	8952	0	9	1	0	1
300225	0	1	11797	5500	14	13	0	1
300228	0	0	53103	12000	12	15	0	1
300229	0	0	6432	2000	14	13	0	0
300232	1	1	0	0	8	19	0	0
300234	1	1	0	0	10	15	0	0
300238	1	1	20014	700	12	13	0	0
300239	0	0	0	0	8	1	0	0
300243	0	1	51495	4875	11	17	0	1
300246	1	1	13500	0	12	13	0	1
300247	1	1	2874	3000	14	16	0	0
300248	0	1	45968	2856	14	13	0	1
300250	0	0	29458	9625	11	9	0	1
300252	1	1	24365	600	14	1	0	0
300253	1	1	3999	10000	15	15	0	1
300256	0	1	43734	6500	11	13	0	0
300257	0	0	83989	10000	12	9	0	1
300259	0	0	0	19000	12	37	1	1
300265	0	0	37122	3000	8	1	0	0
300266	0	1	40305	1024	11	13	0	0
300273	0	0	2824	5000	16	5	0	1
300274	0	0	10371	0	10	1	0	0
300276	1	1	25585	0	12	16	0	0
300279	1	1	17470	8120	8	19	0	1
300283	0	0	5854	350	9	19	0	0
300287	0	0	10047	86	11	13	0	1
300288	0	0	62424	14665	16	16	0	0
300290	1	1	0	1045	8	2	0	1
300292	0	1	0	0	12	19	0	1
300294	1	1	26214	5730	10	16	0	0
300298	0	0	17943	2400	10	9	0	0
300301	0	0	0	6000	9	15	0	1
300302	0	1	12586	1000	11	13	0	0
300303	0	1	5637	0	9	2	0	1
300305	0	0	1935	0	11	2	0	0
300306	0	1	11619	2112	12	13	0	1
300307	0	1	5992	2725	11	39	1	1
300308	0	0	2993	1100	13	16	0	1
300309	0	0	0	671	12	39	1	1
300310	0	1	22614	130	10	13	0	0
300316	1	1	22636	5200	9	39	1	0
300317	0	1	22895	3000	12	9	0	0
300318	0	1	9343	11475	13	13	0	0
300320	0	1	17181	8786	12	13	0	0
300322	1	1	1611	550	12	39	1	0
300325	0	0	1455	0	13	5	0	0
300326	1	1	14757	0	15	16	0	1
300327	0	1	0	3792	10	17	0	0
300330	0	1	11636	300	8	13	0	1
300331	1	1	201	200	12	17	0	0
300332	0	1	17739	0	12	17	0	1
300333	0	0	8284	2800	14	19	0	1
300336	1	1	31312	5400	12	13	0	0
300337	1	1	17038	1400	12	15	0	1
300340	1	1	325	0	11	17	0	1
300343	1	1	17160	15000	12	16	0	1
300344	1	1	19329	3800	12	19	0	0
300345	0	0	15841	7500	10	13	0	0
300346	0	0	7551	2100	12	28	0	1
300353	0	0	1956	3900	10	13	0	1
300355	1	1	0	5000	13	0	0	0
300356	0	1	4446	98	9	1	0	1
300359	1	1	9449	5915	8	37	1	1
300360	0	1	31774	1300	13	13	0	0
300362	1	1	27546	0	12	37	1	0
300363	0	1	1440	400	8	1	0	1
300366	1	1	14295	300	12	13	0	1
300372	1	1	7898	3235	11	17	0	1
300373	0	0	34745	7000	12	13	0	0
300375	0	0	3779	4000	14	16	0	0
300376	1	1	247	150	11	1	0	0
300380	0	0	22289	2808	12	13	0	0
300381	1	1	8550	6000	12	13	0	1
300383	0	1	700	0	12	13	0	1
300384	0	0	16977	2160	11	37	1	0
300385	0	1	19416	1000	8	1	0	0
300387	1	1	35986	3593	12	16	0	1
300390	1	1	7591	300	12	15	0	0
300391	1	1	21561	600	11	1	0	1
300392	0	1	4968	3000	12	13	0	0
300393	0	0	13367	2000	14	19	0	0
300394	1	1	15471	8125	12	16	0	0
300395	0	1	6489	400	11	1	0	1
300398	0	0	337	0	12	9	0	0
300403	1	1	62715	0	12	16	0	1
300404	1	1	0	0	12	19	0	1
300407	1	1	56963	3500	16	13	0	0
300408	1	1	4998	200	12	9	0	1
300411	1	1	0	1440	17	16	0	0
300412	1	1	22951	1300	13	39	1	0
300415	1	1	43748	12500	15	13	0	1
300418	0	0	79720	1000	11	9	0	1
300420	1	1	5130	3400	12	17	0	0
300421	1	1	2613	0	9	9	0	0
300424	0	0	9755	7143	11	39	1	0
300426	0	0	0	0	8	1	0	1
300429	1	1	14529	3380	12	17	0	1
300433	0	0	12773	9	8	1	0	0
300434	0	0	24807	8386	12	39	1	0
300436	1	1	2115	0	10	15	0	0
300437	0	0	0	3000	11	19	0	1
300440	0	1	28249	8000	14	13	0	0
300444	0	0	447	800	12	17	0	0
300446	0	0	960	0	13	13	0	0
300451	0	1	375	0	16	13	0	1
300454	1	1	2359	0	9	19	0	1
300456	0	0	22530	4800	12	15	0	0
300458	1	1	13280	0	12	37	1	0
300460	0	0	690	16700	16	39	1	1
300462	1	1	1215	4000	10	9	0	1
300463	0	0	395	500	13	13	0	0
300465	0	1	0	0	9	2	0	0
300466	1	1	39360	12000	9	13	0	0
300469	1	1	12845	5000	12	13	0	0
300470	0	1	634	16155	12	17	0	0
300472	0	0	3846	0	12	17	0	0
300474	1	1	42923	4252	12	16	0	1
300475	1	1	0	8443	12	16	0	0
300476	0	1	0	0	12	19	0	0
300478	0	1	24524	10600	12	19	0	0
300483	0	0	87243	200	14	13	0	1
300484	1	1	30747	12000	13	13	0	1
300487	1	1	62364	5000	12	19	0	1
300488	1	1	2614	300	11	16	0	0
300492	1	1	0	0	12	5	0	0
300495	1	1	31357	7200	15	15	0	1
300498	0	0	17194	0	12	19	0	1
300499	1	1	1087	3826	11	15	0	0
300501	1	1	90	0	12	37	1	0
300502	0	0	861	1100	12	17	0	1
300503	1	1	49490	17000	14	13	0	1
300504	0	0	5199	4548	12	39	1	1
300506	0	1	213	0	12	13	0	0
300509	0	1	14132	0	10	2	0	1
300513	0	1	2260	8340	9	17	0	0
300516	1	1	51183	10000	14	39	1	1
300517	0	0	45354	7200	14	17	0	1
300525	1	1	79278	6516	13	0	0	1
300526	1	1	69042	19000	11	37	1	1
300527	0	0	0	16000	13	9	0	0
300529	0	1	34373	6240	12	13	0	1
300531	1	1	3379	0	11	17	0	1
300533	1	1	46443	3588	12	13	0	1
300535	0	0	2036	0	11	16	0	0
300539	1	1	25767	2000	9	19	0	1
300541	0	1	24888	700	12	19	0	1
300543	0	0	75	0	10	13	0	0
300545	1	1	20058	7630	11	15	0	0
300548	1	1	3594	1080	12	15	0	1
300549	0	0	63423	4000	12	15	0	1
300552	1	1	24606	600	12	15	0	1
300553	1	0	18975	0	9	17	0	0
300555	1	1	20751	7000	13	0	0	0
300557	0	1	31765	4800	12	28	0	0
300558	1	1	15302	1000	12	15	0	0
300560	1	1	12327	1000	11	39	1	1
300565	0	0	306	0	11	17	0	0
300566	0	1	17127	0	10	13	0	0
300567	1	1	18374	2900	12	1	0	0
300571	0	0	68820	13000	12	16	0	1
300572	1	1	0	6600	11	19	0	0
300574	0	0	38945	9000	12	346	1	0
300575	0	0	28804	3000	12	346	1	0
300576	1	1	14625	0	12	40	1	0
300577	0	0	46253	6500	12	37	1	1
300578	0	0	0	0	12	19	0	0
300579	0	0	26040	300	12	13	0	0
300581	0	1	41031	2411	12	17	0	1
300586	0	1	8775	600	9	2	0	0
300589	1	1	321	2000	16	9	0	1
300590	1	1	30837	6711	13	16	0	1
300591	0	0	954	0	9	19	0	1
300593	0	0	5737	4641	12	39	1	0
300594	1	1	82217	24000	8	16	0	1
300596	1	1	21616	400	12	15	0	1
300598	1	1	80166	2200	12	13	0	1
300599	0	1	0	0	8	19	0	0
300600	1	1	6821	160	12	13	0	0
300603	0	0	18501	400	10	19	0	0
300605	0	1	0	260	14	15	0	0
300606	0	0	16332	4848	9	0	0	0
