"probability","observed_positive","overall_positive","complier_positive"
0,1,1.09061488443186,1.28151377701796
5e-04,6,23.099959948474,23.4778569352451
0.001,10.406,36.3685598910106,40.0219634978696
0.0015,17.0726666666667,49.7678507982775,53.7548182262124
0.002,18,63.7392520851893,65.3633991074572
0.0025,23.015,77.2982510253507,76.986205616432
0.003,27,89.2349717902902,88.3434561872541
0.0035,27.807,98.0426725643021,98.1885586002975
0.004,31.7493333333333,107.766599849471,107.71972680976
0.0045,34,118.067893101155,117.416904730289
0.005,39,129.323986572353,129.026953704891
0.0055,40,138.052494612488,138.343245119586
0.006,42,146.955255249625,146.409486826698
0.0065,44,155.38763099618,155.160505118958
0.007,45,165.066919647276,164.90600319864
0.0075,46,174.020897276031,174.536739979814
0.008,48,183.179491151268,183.157870078358
0.0085,49.9673333333334,192.694870439851,192.41229316409
0.009,51,202.002400674339,202.13250462216
0.0095,53.238,209.715274815169,210.891653585425
0.01,56.6866666666667,216.875665830738,217.741481730935
0.0105,59.263,225.547845787239,225.902820820851
0.011,60.822,232.941826917456,234.633992430115
0.0115,65.7793333333333,240.598418239298,242.110866400987
0.012,68.872,248.527421815094,248.496153348447
0.0125,72,255.232675448886,255.47886407372
0.013,75,262.826783428448,261.614079392547
0.0135,78,271.295507169806,269.120115560097
0.014,80.456,279.390771120348,276.703197924685
0.0145,84,287.216247984239,285.390989081599
0.015,87,294.25570123268,291.994545535988
0.0155,89.431,302.383861623685,300.10769651917
0.016,93,308.635517279468,308.419264973575
0.0165,96.5663333333333,313.776954361207,315.835179755157
0.017,99.634,321.709072410277,323.567821945583
0.0175,104,328.584019096737,330.842520537
0.018,107.769333333333,335.990013455387,337.735958662697
0.0185,108,343.698330892418,343.570128511494
0.019,112.809333333333,350.09809377815,349.754058439061
0.0195,117,358.87183784021,356.927685935062
0.02,120.08,364.957759548688,364.319632500868
0.0205,126.107666666667,370.682402678053,371.320126935671
0.021,129.350666666667,377.141730845772,377.97869889591
0.0215,132,384.245889744158,385.410299593227
0.022,135,390.809347135242,393.266265195332
0.0225,141.378333333333,398.881559361781,400.606719784486
0.023,144,405.636323964777,407.424720733215
0.0235,147,413.53062854558,415.393439639864
0.024,150,419.932946363361,422.202306649854
0.0245,154,426.671935960545,428.366642254468
