"probability","observed_nonfloor","overall_raw_nonfloor","complier_raw_nonfloor"
0,-1.33599010601466,-1.52309977806294,-1.52309977806294
5e-04,-1.03784332979517,-1.52309977806294,-1.52309977806294
0.001,-0.997194465705779,-1.52309977806294,-1.52309977806294
0.0015,-0.976173476338272,-1.52309977806294,-1.52309977806294
0.002,-0.927806225623965,-1.43501217646181,-1.44049754142654
0.0025,-0.873347230807607,-1.32726558314368,-1.33798369212367
0.003,-0.828011276248967,-1.24918000778575,-1.26159224380166
0.0035,-0.779236232014226,-1.19084671602868,-1.19723764299495
0.004,-0.741454572298823,-1.13884004495898,-1.14376518619292
0.0045,-0.697862388132054,-1.10047034843049,-1.10107713268493
0.005,-0.678837226854487,-1.05815863645309,-1.06257266924687
0.0055,-0.63990160420068,-1.01895657851049,-1.0245680966403
0.006,-0.607310391124109,-0.980044058836914,-0.982159826516561
0.0065,-0.592167534853235,-0.943968932597725,-0.945814414779902
0.007,-0.57685672896274,-0.914255752984719,-0.915454511061637
0.0075,-0.544151213903637,-0.886336918932154,-0.88709166371542
0.008,-0.516292427492594,-0.859346925637254,-0.863371032895988
0.0085,-0.516292427492594,-0.831144589566882,-0.835937237229878
0.009,-0.515279927416693,-0.808791925039519,-0.814260334864862
0.0095,-0.496091633115113,-0.787239626332957,-0.79417362013548
0.01,-0.467918550640144,-0.764864583594719,-0.770675058888428
0.0105,-0.457061707266294,-0.747156242376381,-0.752015557425605
0.011,-0.457061707266294,-0.730285960902323,-0.734513273288195
0.0115,-0.457061707266294,-0.718700910425131,-0.718631155066033
0.012,-0.422220382564414,-0.702236846979735,-0.69985859425008
0.0125,-0.408470722489459,-0.684560967735168,-0.684285601414569
0.013,-0.408470722489459,-0.669561762159702,-0.666332646617495
0.0135,-0.395651877525073,-0.650949392708959,-0.649372111859837
0.014,-0.371122359854291,-0.638299965638941,-0.637365210897141
0.0145,-0.367272864233021,-0.624206860668868,-0.625557651328989
0.015,-0.359733910255591,-0.612275391773459,-0.612522041562045
0.0155,-0.348804182527602,-0.599078614562642,-0.60014661902579
0.016,-0.348804182527602,-0.58478945427837,-0.586313831955839
0.0165,-0.342224651354123,-0.574169056538748,-0.57567014443929
0.017,-0.337666115942975,-0.562012702702068,-0.562794652114572
0.0175,-0.331512673184986,-0.551572171510431,-0.551864039426324
0.018,-0.315817985257956,-0.541770799263721,-0.541909179566021
0.0185,-0.314810138425331,-0.532213517554017,-0.532546733470828
0.019,-0.304551790432879,-0.522946027930923,-0.523710922911286
0.0195,-0.299920662537568,-0.512155703957829,-0.514224577025075
0.02,-0.299624064076049,-0.502120613922897,-0.505039731417335
0.0205,-0.289914445622998,-0.493816169439724,-0.495230761106619
0.021,-0.27850296091247,-0.48492765139136,-0.486842344487353
0.0215,-0.277053678368629,-0.475304562507962,-0.47740664581317
0.022,-0.277053678368629,-0.467030292781183,-0.468916574054705
0.0225,-0.277053678368629,-0.459286014946275,-0.460561615923752
0.023,-0.277053678368629,-0.451304956040841,-0.452274163789527
0.0235,-0.277053678368629,-0.443384106293821,-0.444212282628663
0.024,-0.277053678368629,-0.43574118147594,-0.435610470587211
0.0245,-0.277053678368629,-0.428997444412058,-0.428826244942213
0.025,-0.277053678368629,-0.422537983959734,-0.421366786214011
0.0255,-0.277053678368629,-0.414377642448497,-0.41345489787901
0.026,-0.277053678368629,-0.407153831043048,-0.405920304715609
0.0265,-0.277053678368629,-0.401003474395064,-0.400447088083346
0.027,-0.277053678368629,-0.394124979139583,-0.393330865215207
0.0275,-0.271929591177949,-0.386973549636648,-0.386329029433563
0.028,-0.271625799614365,-0.380969104656529,-0.380993926092773
0.0285,-0.271625799614365,-0.373486846078098,-0.374299822318713
0.029,-0.271625799614365,-0.367007137818187,-0.368622767335678
0.0295,-0.271625799614365,-0.361033457067869,-0.36309061171236
0.03,-0.271625799614365,-0.355147334499665,-0.357279839412833
0.0305,-0.271625799614365,-0.348739777541447,-0.351772264662524
0.031,-0.271625799614365,-0.341653903160757,-0.345404132393459
0.0315,-0.265148449141808,-0.336610751594278,-0.339542383916561
0.032,-0.257193583300211,-0.330993786619981,-0.333858764772614
0.0325,-0.248265993877447,-0.325288164706844,-0.327683651696017
0.033,-0.244073999809367,-0.319664297228953,-0.321313419086799
0.0335,-0.232727454164234,-0.314415914739771,-0.316160124414579
0.034,-0.222594683552271,-0.308200920218821,-0.310107512595671
0.0345,-0.222594683552271,-0.303427127451503,-0.30534634215547
0.035,-0.222594683552271,-0.297976993822364,-0.299745722683851
0.0355,-0.222594683552271,-0.292098430621717,-0.293865110385422
0.036,-0.211605939864278,-0.286985646063334,-0.288296252949662
0.0365,-0.210249008342854,-0.282309816831611,-0.282867766028691
0.037,-0.205220118389265,-0.277552435378023,-0.278040891767909
0.0375,-0.202561250032899,-0.271983221305973,-0.272878180807455
0.038,-0.201044883866856,-0.266654742486902,-0.26708151482966
0.0385,-0.1950847087897,-0.261770312993387,-0.261753477343732
0.039,-0.192424999626846,-0.256794632640592,-0.257105971313363
0.0395,-0.190879467340923,-0.251907637875624,-0.252560863027917
0.04,-0.18889129074902,-0.246669164326369,-0.247974986313182
0.0405,-0.181081114591303,-0.241885122164196,-0.243043781781655
0.041,-0.181081114591303,-0.237174620833932,-0.237948942652761
0.0415,-0.181081114591303,-0.232729413688926,-0.234202193419859
0.042,-0.181081114591303,-0.227209975925483,-0.229500618416441
0.0425,-0.181081114591303,-0.223550498765372,-0.22492317105456
0.043,-0.172031472579189,-0.219508713189337,-0.221434897195562
0.0435,-0.162485836395737,-0.216072865390017,-0.217356056397986
0.044,-0.162485836395737,-0.211926730092692,-0.213478401201033
0.0445,-0.162485836395737,-0.208205458799208,-0.209433596756428
0.045,-0.162485836395737,-0.204306363735598,-0.205480325296339
0.0455,-0.162485836395737,-0.200364463213074,-0.201789903196299
0.046,-0.162485836395737,-0.196577706370844,-0.198275882315328
0.0465,-0.153645155932904,-0.193048888926422,-0.194750031023596
